"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-01","0.08","72","82",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-02",,"72","83","59"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-03",,"76","89","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-04",,"78","93","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-05",,"79","95",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-06",,"80","91","65"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-07",,"76","87","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-08",,"72","84",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-09",,"72","84","56"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-10",,"75","86","59"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-11",,"76","84","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-12",,"76","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-13",,"75","87","60"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-14",,"76","90","66"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-15",,"76",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-16",,"75","90","63"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-17",,"78","90","65"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-18",,"79","90","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-19",,"80","90","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-20",,"80","95","67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-21",,"79",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-22",,"73","85","67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-23",,"73","87","63"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-24",,"73","91","60"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-25",,"73","90","61"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-26",,"75","96","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-27",,"72","92","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-28",,"70","88","61"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-29",,"74","88","66"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-30",,"73","86","65"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-01-31",,"74","86","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-01",,"75","84","69"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-02","0.00","76","90","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-03",,"75","91","65"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-04",,"73","87","63"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-05",,"72","83",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-06",,"71","85",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-07",,"75","89","57"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-08",,"78",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-09",,"75","100","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-10",,"72","89","60"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-11",,"71","85",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-12",,"71","88","57"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-13",,"72","88","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-14",,"72","83","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-15",,"74","84","64"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-16",,"73","85","59"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-17",,"74","86","60"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-18",,"76","89","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-19",,"78",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-20",,"78","88","66"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-21",,"77","88","65"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-22",,"77","88","63"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-23",,"79","89","63"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-24",,"79","89","69"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-25",,"76","83","66"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-26",,"77","85","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-27",,"78","85",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-02-28",,"77","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-01",,"80","91","67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-02",,"81","94","67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-03",,"80","90","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-04",,"80","89","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-05",,"81",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-06",,"80","90",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-07",,"77","85",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-08",,"77",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-09",,"79","86","65"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-10",,"79","87","73"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-11",,"78","88","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-12",,"79","88",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-13",,"77","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-14",,"75","87",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-15",,"77","88","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-16",,"77","88","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-17",,"80","92","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-18",,"79","87","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-19",,"79",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-20",,"79","88","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-21",,"80","88","73"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-22",,"79","88","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-23",,"78",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-24",,"77","87","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-25",,"79","90","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-26",,"81","91","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-27",,"79","90","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-28",,"78","88","73"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-29",,"77","87",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-30",,"75","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-03-31",,"76","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-01",,"82","93","73"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-02",,"83","95","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-03",,"80","90","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-04",,"80","95","73"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-05",,"82","95","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-06",,"85","97","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-07",,"86","99","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-08","0.04","83","102",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-09","0.00","81","93",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-10",,"84","98","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-11",,"81","94","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-12",,"83","94",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-13",,"83","94","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-14",,"83","90","75"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-15",,"84","90","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-16",,"84","90","77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-17",,"81","91","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-18",,"82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-19",,"83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-20",,"83","92","75"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-21",,"85","93","77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-22",,"88",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-23",,"86","95","75"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-24",,"83","91","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-25",,"83","90","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-26",,"82","91","77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-27",,"82","91",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-28",,"81","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-29",,"85","92","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-04-30",,"84","91","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-01",,"84","92","77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-02",,"84","91","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-03",,"82","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-04",,"85",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-05",,"84","92","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-06",,"85",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-07",,"84","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-08",,"84","92","80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-09",,"84","92","79"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-10",,"84","93",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-11",,"84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-12",,"84","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-13",,"85","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-14",,"85","93","81"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-15",,"85","93",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-16",,"86","93",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-17",,"84","94",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-18",,"85","94",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-19",,"86","95",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-20",,"85","95",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-21",,"86","94",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-22",,"87","95",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-23",,"89","96","84"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-24",,"88","97",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-25",,"87","96",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-26","0.02","85","98",
