"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-01",,"77",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-02",,"78",,"58"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-03",,"78",,"58"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-04",,"79",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-05",,"77",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-06",,"76",,"58"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-07",,"78","91","58"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-08",,"77",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-09",,"76",,"57"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-10",,"78",,"58"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-11",,"76",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-12",,"75",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-13",,"76",,"57"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-14",,"79",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-15",,"82",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-16",,"80",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-17",,"80",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-18",,"81",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-19",,"81",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-20",,"81",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-21",,"77",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-22",,"77",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-23",,"74",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-24",,"74",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-25",,"73",,"56"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-26",,"74",,"56"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-27",,"76",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-28",,"77",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-29",,"77",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-30",,"78",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-01-31",,"77",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-01",,"78",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-02",,"77",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-03",,"80",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-04",,"82",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-05",,"80",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-06",,"77",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-07",,"74",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-08",,"70",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-09",,"72",,"52"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-10",,"77",,"54"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-11",,"80",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-12",,"85",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-13",,"82",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-14",,"80",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-15",,"78",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-16",,"77",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-17",,"76",,"58"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-18",,"78",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-19",,"81",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-20",,"79",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-21",,"79",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-22",,"81",,"70"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-23",,"83",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-24",,"83",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-25",,"82",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-26",,"80",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-27",,"78",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-02-28",,"79",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-01",,"79",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-02",,"80",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-03",,"78",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-04",,"79",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-05",,"78",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-06",,"77",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-07",,"79",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-08",,"81",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-09",,"83",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-10",,"82",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-11",,"80",,"69"
